id,source_image,source_category,crop_left,crop_top,crop_right,crop_bottom,image_label,object_count
X光图片20260804_000036,X光图片20260804/未标注/焊点少锡/焊点少锡 (6).jpg,焊点少锡,2048,1024,2401,1789,无,0
X光图片20260804_000037,X光图片20260804/未标注/焊点桥连/焊点桥连 (1).jpg,焊点桥连,0,0,1004,620,缺陷,1
X光图片20260804_000038,X光图片20260804/未标注/焊点桥连/焊点桥连 (2).jpg,焊点桥连,0,0,1004,620,缺陷,1
X光图片20260804_000039,X光图片20260804/未标注/焊点空洞/焊点空洞 (1).jpg,焊点空洞,0,0,1004,620,缺陷,3
X光图片20260804_000040,X光图片20260804/未标注/焊点空洞/焊点空洞 (2).jpg,焊点空洞,0,0,1004,620,缺陷,1
X光图片20260804_000041,X光图片20260804/未标注/焊点空洞/焊点空洞 (3).jpg,焊点空洞,0,0,1004,620,缺陷,8
X光图片20260804_000042,X光图片20260804/未标注/焊点空洞/焊点空洞 (4).jpg,焊点空洞,0,0,1004,620,缺陷,2
X光图片20260804_000043,X光图片20260804/未标注/焊点空洞/焊点空洞 (5).jpg,焊点空洞,0,0,1004,620,缺陷,2
X光图片20260804_000044,X光图片20260804/未标注/焊点空洞/焊点空洞 (6).jpg,焊点空洞,0,0,1004,620,缺陷,2
X光图片20260804_000045,X光图片20260804/未标注/焊点空洞/焊点空洞 (7).jpg,焊点空洞,0,0,1004,620,缺陷,3
X光图片20260804_000046,X光图片20260804/未标注/焊点空洞/焊点空洞 (8).jpg,焊点空洞,0,0,1004,620,缺陷,2
X光图片20260804_000047,X光图片20260804/未标注/焊点空洞/焊点空洞 (9).jpg,焊点空洞,0,0,1004,620,缺陷,4
X光图片20260804_000048,X光图片20260804/未标注/焊点空洞/焊点空洞 (10).jpg,焊点空洞,0,0,1004,620,缺陷,2
X光图片20260804_000049,X光图片20260804/未标注/焊点空洞/焊点空洞 (11).jpg,焊点空洞,0,0,1004,620,缺陷,5
X光图片20260804_000050,X光图片20260804/未标注/焊点空洞/焊点空洞 (12).jpg,焊点空洞,0,0,1004,620,缺陷,1
X光图片20260804_000051,X光图片20260804/未标注/焊点空洞/焊点空洞 (13).jpg,焊点空洞,0,0,1004,620,缺陷,1
X光图片20260804_000052,X光图片20260804/未标注/焊点空洞/焊点空洞 (14).jpg,焊点空洞,0,0,1004,620,缺陷,3
X光图片20260804_000053,X光图片20260804/未标注/焊点空洞/焊点空洞 (15).jpg,焊点空洞,0,0,1004,620,缺陷,5
X光图片20260804_000054,X光图片20260804/未标注/焊点空洞/焊点空洞 (16).jpg,焊点空洞,0,0,1004,620,缺陷,3
X光图片20260804_000055,X光图片20260804/未标注/焊点空洞/焊点空洞 (17).jpg,焊点空洞,0,0,1004,620,缺陷,6
X光图片20260804_000056,X光图片20260804/未标注/焊点空洞/焊点空洞 (18).jpg,焊点空洞,0,0,1004,620,缺陷,3
X光图片20260804_000057,X光图片20260804/未标注/焊点空洞/焊点空洞 (19).jpg,焊点空洞,0,0,1004,620,缺陷,2
X光图片20260804_000058,X光图片20260804/未标注/焊点空洞/焊点空洞 (20).jpg,焊点空洞,0,0,1004,620,缺陷,2
X光图片20260804_000059,X光图片20260804/未标注/焊点空洞/焊点空洞 (21).jpg,焊点空洞,0,0,1004,620,缺陷,3
X光图片20260804_000060,X光图片20260804/未标注/焊点空洞/焊点空洞 (22).jpg,焊点空洞,0,0,1004,620,缺陷,1
X光图片20260804_000061,X光图片20260804/未标注/焊点空洞/焊点空洞 (23).jpg,焊点空洞,0,0,1004,620,缺陷,4
X光图片20260804_000062,X光图片20260804/未标注/焊点空洞/焊点空洞 (24).jpg,焊点空洞,0,0,1004,620,缺陷,3
X光图片20260804_000063,X光图片20260804/未标注/焊点空洞/焊点空洞 (25).jpg,焊点空洞,0,0,1052,1318,缺陷,2
X光图片20260804_000064,X光图片20260804/未标注/焊点空洞/焊点空洞 (25).jpg,焊点空洞,1052,0,2076,1318,无,0
X光图片20260804_000065,X光图片20260804/未标注/焊点空洞/焊点空洞 (25).jpg,焊点空洞,2076,0,2410,1318,无,0
X光图片20260804_000066,X光图片20260804/未标注/焊点空洞/焊点空洞 (25).jpg,焊点空洞,0,1318,1052,1803,无,0
X光图片20260804_000067,X光图片20260804/未标注/焊点空洞/焊点空洞 (25).jpg,焊点空洞,1052,1318,2076,1803,无,0
X光图片20260804_000068,X光图片20260804/未标注/焊点空洞/焊点空洞 (25).jpg,焊点空洞,2076,1318,2410,1803,无,0
X光图片20260804_000069,X光图片20260804/未标注/焊点空洞/焊点空洞 (26).jpg,焊点空洞,0,0,1024,1038,缺陷,1
X光图片20260804_000070,X光图片20260804/未标注/焊点空洞/焊点空洞 (26).jpg,焊点空洞,1024,0,2048,1038,缺陷,1
X光图片20260804_000071,X光图片20260804/未标注/焊点空洞/焊点空洞 (26).jpg,焊点空洞,2048,0,2401,1038,无,0
X光图片20260804_000072,X光图片20260804/未标注/焊点空洞/焊点空洞 (26).jpg,焊点空洞,0,1038,1024,1808,无,0
X光图片20260804_000073,X光图片20260804/未标注/焊点空洞/焊点空洞 (26).jpg,焊点空洞,1024,1038,2048,1808,无,0
X光图片20260804_000074,X光图片20260804/未标注/焊点空洞/焊点空洞 (26).jpg,焊点空洞,2048,1038,2401,1808,无,0
X光图片20260804_000075,X光图片20260804/未标注/焊点空洞/焊点空洞 (27).jpg,焊点空洞,0,0,1024,1270,无,0
X光图片20260804_000076,X光图片20260804/未标注/焊点空洞/焊点空洞 (27).jpg,焊点空洞,1024,0,2048,1270,缺陷,2
X光图片20260804_000077,X光图片20260804/未标注/焊点空洞/焊点空洞 (27).jpg,焊点空洞,2048,0,2398,1270,无,0
X光图片20260804_000078,X光图片20260804/未标注/焊点空洞/焊点空洞 (27).jpg,焊点空洞,0,1270,1024,1810,无,0
X光图片20260804_000079,X光图片20260804/未标注/焊点空洞/焊点空洞 (27).jpg,焊点空洞,1024,1270,2048,1810,无,0
X光图片20260804_000080,X光图片20260804/未标注/焊点空洞/焊点空洞 (27).jpg,焊点空洞,2048,1270,2398,1810,无,0
X光图片20260804_000081,X光图片20260804/未标注/焊点空洞/焊点空洞 (28).jpg,焊点空洞,0,0,837,1085,无,0
X光图片20260804_000082,X光图片20260804/未标注/焊点空洞/焊点空洞 (28).jpg,焊点空洞,837,0,1861,1085,缺陷,1
X光图片20260804_000083,X光图片20260804/未标注/焊点空洞/焊点空洞 (28).jpg,焊点空洞,1861,0,2410,1085,无,0
X光图片20260804_000084,X光图片20260804/未标注/焊点空洞/焊点空洞 (28).jpg,焊点空洞,0,1085,837,1801,无,0
X光图片20260804_000085,X光图片20260804/未标注/焊点空洞/焊点空洞 (28).jpg,焊点空洞,837,1085,1861,1801,缺陷,1
X光图片20260804_000086,X光图片20260804/未标注/焊点空洞/焊点空洞 (28).jpg,焊点空洞,1861,1085,2410,1801,无,0
X光图片20260804_000087,X光图片20260804/未标注/焊点空洞/焊点空洞 (29).jpg,焊点空洞,0,0,906,898,无,0
X光图片20260804_000088,X光图片20260804/未标注/焊点空洞/焊点空洞 (29).jpg,焊点空洞,906,0,1930,898,无,0
X光图片20260804_000089,X光图片20260804/未标注/焊点空洞/焊点空洞 (29).jpg,焊点空洞,1930,0,2415,898,无,0
X光图片20260804_000090,X光图片20260804/未标注/焊点空洞/焊点空洞 (29).jpg,焊点空洞,0,898,906,1798,无,0
X光图片20260804_000091,X光图片20260804/未标注/焊点空洞/焊点空洞 (29).jpg,焊点空洞,906,898,1930,1798,缺陷,1
X光图片20260804_000092,X光图片20260804/未标注/焊点空洞/焊点空洞 (29).jpg,焊点空洞,1930,898,2415,1798,无,0
X光图片20260804_000093,X光图片20260804/未标注/焊点空洞/焊点空洞 (30).jpg,焊点空洞,0,0,853,903,无,0
X光图片20260804_000094,X光图片20260804/未标注/焊点空洞/焊点空洞 (30).jpg,焊点空洞,853,0,1877,903,无,0
X光图片20260804_000095,X光图片20260804/未标注/焊点空洞/焊点空洞 (30).jpg,焊点空洞,1877,0,2403,903,无,0
X光图片20260804_000096,X光图片20260804/未标注/焊点空洞/焊点空洞 (30).jpg,焊点空洞,0,903,853,1796,无,0
X光图片20260804_000097,X光图片20260804/未标注/焊点空洞/焊点空洞 (30).jpg,焊点空洞,853,903,1877,1796,缺陷,1
X光图片20260804_000098,X光图片20260804/未标注/焊点空洞/焊点空洞 (30).jpg,焊点空洞,1877,903,2403,1796,无,0
X光图片20260804_000099,X光图片20260804/未标注/焊点空洞/焊点空洞 (31).jpg,焊点空洞,0,0,951,949,无,0
X光图片20260804_000100,X光图片20260804/未标注/焊点空洞/焊点空洞 (31).jpg,焊点空洞,951,0,1975,949,无,0
X光图片20260804_000101,X光图片20260804/未标注/焊点空洞/焊点空洞 (31).jpg,焊点空洞,1975,0,2396,949,无,0
X光图片20260804_000102,X光图片20260804/未标注/焊点空洞/焊点空洞 (31).jpg,焊点空洞,0,949,951,1794,无,0
X光图片20260804_000103,X光图片20260804/未标注/焊点空洞/焊点空洞 (31).jpg,焊点空洞,951,949,1975,1794,缺陷,1
X光图片20260804_000104,X光图片20260804/未标注/焊点空洞/焊点空洞 (31).jpg,焊点空洞,1975,949,2396,1794,无,0
X光图片20260804_000105,X光图片20260804/未标注/焊点空洞/焊点空洞 (32).jpg,焊点空洞,0,0,1024,952,无,0
X光图片20260804_000106,X光图片20260804/未标注/焊点空洞/焊点空洞 (32).jpg,焊点空洞,1024,0,2048,952,无,0
X光图片20260804_000107,X光图片20260804/未标注/焊点空洞/焊点空洞 (32).jpg,焊点空洞,2048,0,2401,952,无,0
X光图片20260804_000108,X光图片20260804/未标注/焊点空洞/焊点空洞 (32).jpg,焊点空洞,0,952,1024,1794,无,0
X光图片20260804_000109,X光图片20260804/未标注/焊点空洞/焊点空洞 (32).jpg,焊点空洞,1024,952,2048,1794,缺陷,1
X光图片20260804_000110,X光图片20260804/未标注/焊点空洞/焊点空洞 (32).jpg,焊点空洞,2048,952,2401,1794,无,0
X光图片20260804_000111,X光图片20260804/未标注/焊点空洞/焊点空洞 (33).jpg,焊点空洞,0,0,912,1169,无,0
X光图片20260804_000112,X光图片20260804/未标注/焊点空洞/焊点空洞 (33).jpg,焊点空洞,912,0,1936,1169,缺陷,1
X光图片20260804_000113,X光图片20260804/未标注/焊点空洞/焊点空洞 (33).jpg,焊点空洞,1936,0,2410,1169,无,0
X光图片20260804_000114,X光图片20260804/未标注/焊点空洞/焊点空洞 (33).jpg,焊点空洞,0,1169,912,1806,无,0
X光图片20260804_000115,X光图片20260804/未标注/焊点空洞/焊点空洞 (33).jpg,焊点空洞,912,1169,1936,1806,无,0
X光图片20260804_000116,X光图片20260804/未标注/焊点空洞/焊点空洞 (33).jpg,焊点空洞,1936,1169,2410,1806,无,0
X光图片20260804_000117,X光图片20260804/未标注/焊点空洞/焊点空洞 (34).jpg,焊点空洞,0,0,1004,620,缺陷,2
X光图片20260804_000118,X光图片20260804/未标注/焊点空洞/焊点空洞 (35).jpg,焊点空洞,0,0,1024,1148,缺陷,1
X光图片20260804_000119,X光图片20260804/未标注/焊点空洞/焊点空洞 (35).jpg,焊点空洞,1024,0,2048,1148,无,0
X光图片20260804_000120,X光图片20260804/未标注/焊点空洞/焊点空洞 (35).jpg,焊点空洞,2048,0,2396,1148,无,0
X光图片20260804_000121,X光图片20260804/未标注/焊点空洞/焊点空洞 (35).jpg,焊点空洞,0,1148,1024,1803,无,0
X光图片20260804_000122,X光图片20260804/未标注/焊点空洞/焊点空洞 (35).jpg,焊点空洞,1024,1148,2048,1803,无,0
X光图片20260804_000123,X光图片20260804/未标注/焊点空洞/焊点空洞 (35).jpg,焊点空洞,2048,1148,2396,1803,无,0
X光图片20260804_000124,X光图片20260804/未标注/焊点空洞/焊点空洞 (36).jpg,焊点空洞,0,0,1004,620,缺陷,1
X光图片20260804_000125,X光图片20260804/未标注/焊点空洞/焊点空洞 (37).jpg,焊点空洞,0,0,1004,620,缺陷,2
X光图片20260804_000126,X光图片20260804/未标注/焊点空洞/焊点空洞 (38).jpg,焊点空洞,0,0,1004,620,缺陷,3
X光图片20260804_000127,X光图片20260804/未标注/焊点空洞/焊点空洞 (39).jpg,焊点空洞,0,0,1004,620,缺陷,4
X光图片20260804_000128,X光图片20260804/未标注/焊点空洞/焊点空洞 (40).jpg,焊点空洞,0,0,1004,620,缺陷,2
X光图片20260804_000129,X光图片20260804/未标注/过锡不良/过锡不良 (1).jpg,过锡不良,0,0,1004,620,缺陷,1
X光图片20260804_000130,X光图片20260804/未标注/过锡不良/过锡不良 (2).jpg,过锡不良,0,0,1004,620,缺陷,1
X光图片20260804_000131,X光图片20260804/未标注/过锡不良/过锡不良 (3).jpg,过锡不良,0,0,1024,1058,无,0
X光图片20260804_000132,X光图片20260804/未标注/过锡不良/过锡不良 (3).jpg,过锡不良,1024,0,1449,1058,缺陷,3
X光图片20260804_000133,X光图片20260804/未标注/过锡不良/过锡不良 (4).jpg,过锡不良,0,0,1004,620,缺陷,1
X光图片20260804_000134,X光图片20260804/未标注/过锡不良/过锡不良 (5).jpg,过锡不良,0,0,1024,1163,缺陷,1
X光图片20260804_000135,X光图片20260804/未标注/过锡不良/过锡不良 (5).jpg,过锡不良,1024,0,1537,1163,无,0
X光图片20260804_000136,X光图片20260804/未标注/过锡不良/过锡不良 (6).jpg,过锡不良,0,0,1004,620,缺陷,1
X光图片20260804_000137,X光图片20260804/未标注/过锡不良/过锡不良 (7).jpg,过锡不良,0,0,1004,620,缺陷,3
X光图片20260804_000138,X光图片20260804/未标注/过锡不良/过锡不良 (8).jpg,过锡不良,0,0,1004,620,缺陷,1
X光图片20260804_000139,X光图片20260804/未标注/过锡不良/过锡不良 (9).jpg,过锡不良,0,0,1004,620,缺陷,1
X光图片20260804_000140,X光图片20260804/未标注/过锡不良/过锡不良 (10).jpg,过锡不良,0,0,1004,620,缺陷,1
X光图片20260804_000141,X光图片20260804/未标注/过锡不良/过锡不良 (11).jpg,过锡不良,0,0,1004,620,缺陷,1
X光图片20260804_000142,X光图片20260804/未标注/过锡不良/过锡不良 (12).jpg,过锡不良,0,0,1004,620,缺陷,1
X光图片20260804_000143,X光图片20260804/未标注/过锡不良/过锡不良 (13).jpg,过锡不良,0,0,1004,620,缺陷,1
X光图片20260804_000144,X光图片20260804/未标注/过锡不良/过锡不良 (14).jpg,过锡不良,0,0,1004,620,缺陷,3
X光图片20260804_000145,X光图片20260804/未标注/过锡不良/过锡不良 (15).jpg,过锡不良,0,0,1004,620,缺陷,1
X光图片20260804_000146,X光图片20260804/未标注/过锡不良/过锡不良 (16).jpg,过锡不良,0,0,1004,620,缺陷,1
X光图片20260804_000147,X光图片20260804/未标注/过锡不良/过锡不良 (17).jpg,过锡不良,0,0,1004,620,缺陷,1
X光图片20260804_000148,X光图片20260804/未标注/过锡不良/过锡不良 (18).jpg,过锡不良,0,0,1004,620,缺陷,1
X光图片20260804_000149,X光图片20260804/未标注/过锡不良/过锡不良 (19).jpg,过锡不良,0,0,1004,620,缺陷,2
X光图片20260804_000150,X光图片20260804/未标注/过锡不良/过锡不良 (20).jpg,过锡不良,0,0,1004,620,缺陷,1
X光图片20260804_000151,X光图片20260804/未标注/过锡不良/过锡不良 (21).jpg,过锡不良,0,0,1004,620,缺陷,1
X光图片20260804_000152,X光图片20260804/未标注/过锡不良/过锡不良 (22).jpg,过锡不良,0,0,1004,620,缺陷,1
X光图片20260804_000153,X光图片20260804/未标注/过锡不良/过锡不良 (23).jpg,过锡不良,0,0,1004,620,缺陷,1
